Tamaño,Base_de_datos,Ejecucion,Tiempo_simple_ms,Tiempo_agregado_ms,Throughput_req_s,CPU_%,Memoria_MiB,IO_MB_s,Almacenamiento_MB
Medium,Timescale,results_20251121_164306,2706.0,4630.0,0.6546644844517184,23.234782608695657,2090.5173913043477,6.629583333333334,4403.2
Medium,Timescale,results_20251121_164342,4776.0,4043.0,0.47644004002096335,23.236666666666668,2240.5599999999995,5.566,4403.2
Medium,Timescale,results_20251121_164425,2841.0,3907.0,0.43344458410992154,19.0,2214.2599999999998,5.283225806451613,4403.2
Medium,Timescale,results_20251121_164508,2295.0,4078.9999999999995,0.5885122410546139,20.178260869565214,1984.9217391304353,20.349583333333335,4403.2
Medium,Timescale,results_20251121_164545,3203.0,4951.0,0.3099717925668764,21.40487804878049,2332.312195121951,4.654878048780488,4403.2
Medium,Timescale,results_20251121_164638,3315.0,5137.0,0.42493519738239915,22.53030303030303,2162.460606060606,29.193030303030305,4403.2
Medium,Timescale,results_20251121_164722,2774.0,3917.0,0.47634925927690186,18.56551724137931,2181.289655172414,5.20448275862069,4403.2
Medium,Timescale,results_20251121_164803,2675.0,5163.0,0.5083884087442806,21.410714285714285,2194.696428571429,5.487142857142857,4403.2
Medium,Timescale,results_20251121_164844,2595.0,4948.0,0.4826487764853516,17.941379310344825,2249.348275862069,5.414827586206895,4403.2
Medium,Timescale,results_20251121_164924,3706.0,4819.0,0.555524693072607,22.955555555555552,2135.2555555555555,7.457857142857143,4403.2
Medium,Timescale,results_20251121_165004,3629.0,4078.9999999999995,0.5820721769499418,19.712,2118.128,6.261923076923077,4403.2
Medium,Timescale,results_20251121_165042,2377.0,3992.0,0.484003678427956,20.07777777777778,2180.7666666666664,5.424074074074074,4403.2
Medium,ColumnStore,results_20251107_011407,13486.0,3430.0,0.1881750780926574,14.41940298507463,3121.702985074627,2522.514637681159,1331.2
Medium,ColumnStore,results_20251107_011529,14028.0,3406.0,0.11919093195389695,9.624242424242423,3120.262626262626,1056.7052941176469,1331.2
Medium,ColumnStore,results_20251107_011722,13382.0,3448.0,0.20272050923391918,12.970149253731341,2687.8194029850747,252.22223880597014,1331.2
Medium,ColumnStore,results_20251107_011842,14761.0,7113.0,0.3327344113928263,15.636538461538462,2718.45,12.00509433962264,1331.2
Medium,ColumnStore,results_20251107_011946,14716.0,6196.0,0.22807097568763401,17.04545454545455,2581.1333333333337,10.424090909090909,1331.2
Medium,ColumnStore,results_20251107_012102,13250.0,3417.0,0.34314734747100406,13.080434782608695,2944.0043478260873,12.374255319148936,1331.2
Medium,ColumnStore,results_20251107_012200,13994.0,3774.0,0.20453243884480077,13.446969696969695,2852.2681818181823,876.2812121212122,1331.2
Medium,ColumnStore,results_20251107_012319,14426.0,3414.0,0.2559967232419425,10.54137931034483,2705.2327586206898,10.256271186440678,1331.2
Medium,ColumnStore,results_20251107_012427,13095.0,5471.0,0.36045128500883106,14.614893617021275,2759.4702127659575,260.0895833333333,1331.2
Medium,ColumnStore,results_20251107_012526,15171.0,6565.0,0.3547483060768385,16.271153846153847,2582.619230769231,11.216923076923077,1331.2
Medium,ColumnStore,results_20251107_012629,16398.0,6342.0,0.23889154323936934,13.969841269841272,2720.750793650795,8.89796875,1331.2
Medium,ColumnStore,results_20251107_012745,14801.0,6085.0,0.17846626095336676,13.293506493506491,2672.274025974026,8.177307692307693,1331.2
Medium,ColumnStore,results_20251107_012914,14736.0,5953.0,0.343300490919702,17.449019607843134,2764.719607843136,11.047843137254901,1331.2
Medium,ColumnStore,results_20251107_013016,14732.0,6225.0,0.21595473588735803,15.235820895522387,2610.7820895522386,8.731029411764707,1331.2
Medium,ColumnStore,results_20251107_013135,15042.0,6171.0,0.3327344113928263,17.982692307692307,2714.059615384616,12.005849056603775,1331.2
Medium,ColumnStore,results_20251107_013240,14751.0,6794.0,0.3663406235117412,16.418,2686.526,11.523600000000002,1331.2
Medium,ColumnStore,results_20251107_013341,14419.0,6081.0,0.33377837116154874,15.213461538461537,2758.063461538462,10.638653846153847,1331.2
Medium,ColumnStore,results_20251107_013446,14677.0,6321.0,0.2846407833314357,18.356896551724137,2914.1431034482757,497.3651724137932,1331.2
Medium,ColumnStore,results_20251107_013556,15259.0,7175.0,0.32560562646522534,16.305555555555557,2679.4203703703706,9.882545454545454,1331.2
Medium,ColumnStore,results_20251107_013701,15168.0,7087.0,0.3590664272890485,16.417307692307695,2641.2134615384616,10.034230769230769,1331.2
Medium,ColumnStore,results_20251107_013805,14520.0,6073.0,0.3599712023038157,15.844000000000001,2749.94,9.8282,1331.2
Medium,ColumnStore,results_20251107_013907,16328.0,6196.0,0.3350869550648393,17.313207547169814,2666.9037735849056,10.902777777777775,1331.2
Medium,ColumnStore,results_20251107_014012,14055.0,5997.0,0.33478406427854035,15.925490196078435,2671.035294117647,10.474999999999998,1331.2
Medium,ColumnStore,results_20251107_014115,15593.0,6106.0,7.757216878822398e-06,17.62982456140351,2705.745614035088,48.31315789473684,1331.2
Medium,ColumnStore,results_20251121_234748,2721.0,4384.0,0.2557544757033248,15.015254237288136,2875.6067796610178,20.458983050847458,1331.2
